#,Product Handle,Product Title,Reasons,Tags,Category 1,Category 2,Material
91,brass-041-ring,Brass Assorted Ring Collection Set 041,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
92,brass-042-ring,Brass Assorted Ring Collection Set 042,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
93,brass-044-ring,Brass Assorted Ring Collection Set 044,title:Assorted,"brass, ring",Rings,,Brass
94,brass-045-ring,Brass Assorted Ring Collection Set 045,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
95,brass-046-ring,Brass Assorted Ring Collection Set 046,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
96,brass-047-ring,Brass Assorted Ring Collection Set 047,title:Assorted,"brass, ring",Rings,,Brass
97,brass-048-ring,Brass Assorted Ring Collection Set 048,title:Assorted,"brass, ring",Rings,,Brass
98,brass-049-ring,Brass Assorted Ring Collection Set 049,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
99,brass-050-ring,Brass Assorted Ring Collection Set 050,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
100,brass-051-ring,Brass Assorted Ring Collection Set 051,title:Assorted,"brass, ring",Rings,,Brass
101,brass-053-ring,Brass Assorted Ring Collection Set 053,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
102,brass-054-ring,Brass Assorted Ring Collection Set 054,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
103,brass-055-ring,Brass Assorted Ring Collection Set 055,title:Assorted,"brass, ring",Rings,,Brass
104,brass-056-ring,Brass Assorted Ring Collection Set 056,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
105,brass-057-ring,Brass Assorted Ring Collection Set 057,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
106,brass-7-ring,Brass Assorted Ring Collection Set Size 7,title:Assorted,"brass, cross, ring",Rings,Crosses Collection,Brass
107,brass-8-ring,Brass Assorted Ring Collection Set Size 8,tag:wholesale | tag:kit | title:Assorted,"brass, kit, ring, wholesale",Rings,,Brass
108,brass-gold-mens-display-ring,Brass Gold Mens Ring Collection Display Ring,tag:wholesale | tag:kit | title:Display Ring,"brass, gold-plated, kit, mens, wholesale",Minimalist,,Brass
109,brass-mens-display-ring,Brass Mixed Mens Ring Collection Display Ring,tag:wholesale | tag:kit | title:Display Ring,"brass, kit, mens, wholesale",Minimalist,,Brass
110,brass-silver-mens-display-ring,Brass Silver Mens Ring Collection Display Ring,tag:wholesale | tag:kit | title:Display Ring,"brass, kit, mens, rhodium-plated, wholesale",Minimalist,,Brass
111,brass-white-enamel-cz-ring,Brass White Enamel CZ Dome Ring,tag:wholesale | tag:kit,"brass, cubic-zirconia, gold-plated, kit, pave, ring, wholesale",Rings,,Brass
112,brass-women-gold-display-ring,Brass Women Brass Gold Ring Display Kit Size 6 Ring,tag:wholesale | tag:kit | title:Display Kit,"brass, gold-plated, kit, wholesale",Minimalist,,Brass
113,brass-women-gold-display-ring-2,Brass Women Brass Gold Ring Display Kit Size 7 Ring,title:Display Kit,"brass, gold-plated, ring",Rings,,Brass
114,brass-women-rose-gold-ring,Brass Women Brass Rose Gold Ring Display Kit Size 6 Ring,tag:wholesale | tag:kit | title:Display Kit,"brass, gold-plated, kit, rose-gold, wholesale, flower",Flowers Collection,,Brass
115,stainless-steel-men-display-ring,Stainless Steel Men Stainless Steel Ring Display Kit Size 10 Ring,tag:wholesale | tag:kit | title:Display Kit,"kit, stainless-steel, wholesale",Minimalist,,Stainless Steel
116,stainless-steel-men-display-ring-2,Stainless Steel Men Stainless Steel Ring Display Kit Size 11 Ring,title:Display Kit,"ring, stainless-steel",Rings,,Stainless Steel
117,stainless-steel-men-display-ring-3,Stainless Steel Men Stainless Steel Ring Display Kit Size 8 Ring,title:Display Kit,"ring, stainless-steel",Rings,,Stainless Steel
118,stainless-steel-men-display-ring-4,Stainless Steel Men Stainless Steel Ring Display Kit Size 9 Ring,title:Display Kit,"ring, stainless-steel",Rings,,Stainless Steel
119,stainless-steel-women-cz-ring,Stainless Steel Women CZ Ring Display Kit Size 6 Ring,title:Display Kit,"ring, stainless-steel",Rings,,Stainless Steel
120,stainless-steel-women-cz-ring-2,Stainless Steel Women CZ Ring Display Kit Size 7 Ring,title:Display Kit,"ring, stainless-steel",Rings,,Stainless Steel
121,stainless-steel-women-cz-ring-3,Stainless Steel Women CZ Ring Display Kit Size 8 Ring,title:Display Kit,"ring, stainless-steel",Rings,,Stainless Steel
122,sterling-silver-curved-link-ring,Sterling Silver Curved Link Ring,tag:wholesale | tag:kit,"kit, ring, sterling-silver, wholesale",Rings,,Sterling Silver
123,sterling-silver-double-link-ring,Sterling Silver Double Link Ring,tag:wholesale | tag:kit,"kit, ring, sterling-silver, wholesale",Rings,,Sterling Silver
124,sterling-silver-metal-link-ring,Sterling Silver Metal Link Ring,tag:wholesale | tag:kit,"kit, ring, sterling-silver, wholesale",Rings,,Sterling Silver
125,sterling-silver-open-oval-ring,Sterling Silver Open Oval Ring,tag:wholesale | tag:kit,"kit, ring, sterling-silver, wholesale",Rings,,Sterling Silver
